,productid,total_sales,year,month
0,707,484.476,2011,05
1,708,545.0355,2011,05
2,709,216.6,2011,05
3,710,28.5,2011,05
4,711,666.1545,2011,05
5,712,207.45999999999998,2011,05
6,714,461.4464,2011,05
7,715,1413.1796,2011,05
8,716,547.9676,2011,05
9,722,1428.6464,2011,05
10,725,2759.073,2011,05
11,726,1655.4438,2011,05
12,729,2943.0112,2011,05
13,730,2575.1348,2011,05
14,732,5710.368,2011,05
15,733,1427.592,2011,05
16,738,3393.0352000000003,2011,05
17,741,1637.4,2011,05
18,742,2167.7847,2011,05
19,743,714.7043,2011,05
20,745,809.76,2011,05
21,747,2858.8172,2011,05
22,748,1445.1898,2011,05
23,749,10496.258666666667,2011,05
24,753,30057.468,2011,05
25,754,23619.438,2011,05
26,755,9622.734,2011,05
27,756,12247.116,2011,05
28,758,40240.524,2011,05
29,760,18036.7327,2011,05
30,761,7969.7191,2011,05
31,762,18456.191600000002,2011,05
32,763,8389.178,2011,05
33,764,5872.4246,2011,05
34,765,12583.767,2011,05
35,766,4614.0479,2011,05
36,767,699.0982,2011,05
37,768,5452.965700000001,2011,05
38,770,12164.3081,2011,05
39,771,20399.94,2011,05
40,772,10199.97,2011,05
41,773,40459.881,2011,05
42,774,14279.957999999999,2011,05
43,775,44549.867999999995,2011,05
44,776,32399.904,2011,05
45,777,46574.862,2011,05
46,778,40499.88,2011,05
47,749,75143.67,2011,06
48,750,82300.21,2011,06
49,751,100191.56,2011,06
50,752,42939.24,2011,06
51,753,53674.05,2011,06
52,761,699.0982,2011,06
53,762,1398.1964,2011,06
54,763,699.0982,2011,06
55,764,1398.1964,2011,06
56,765,2097.2946,2011,06
57,767,699.0982,2011,06
58,768,1398.1964,2011,06
59,770,1398.1964,2011,06
60,771,13599.96,2011,06
61,772,6799.98,2011,06
62,773,20399.94,2011,06
63,774,10199.97,2011,06
64,775,10124.97,2011,06
65,776,3374.99,2011,06
66,777,20249.94,2011,06
67,778,10124.97,2011,06
68,707,1170.817,2011,07
69,708,1130.444,2011,07
70,709,754.7071428571428,2011,07
71,710,74.10000000000001,2011,07
72,711,1291.936,2011,07
73,712,533.5499185185184,2011,07
74,714,1067.0947999999999,2011,07
75,715,3284.0263034482755,2011,07
